context,response,context_length,response_length
"I get that you're not a big beliEver in the 'catParkng flies with Honey' approach, but do you honestly think you'll collect a jarful by clEverly taunting them?","Flies, no. Doctors, sure. If I'd said to Foreman, ""Nice try, it was a great guess, but not this time,"" what do you think he'd be doing right now?",28,29
You want him to feel like a piece of crap?,"No, I don't want him going home.",10,7
"I ran a TSH, T3 and T4. Patient's negative for hypothyroidism. Not talking about you.",Well the fact that he's getting better would indiCate the unreliability of the tests.,15,14
"If I'm right and it's a viral infection, one of two things always happens: Patient dies or the Patient's immune system fights off the invader. What's with her?","Her leg hurts after running six miles. Who knows, it could be anything!",28,13
"He's getting better. That doesn't prove you're right, it just proves he's getting better. It, it's not two illnesses! It can't be two illnesses!",I am so glad you work here.,24,7
"If I'm right, the antibiotics you prescribed could block his kidneys and liver, impeding his ability to fight off the virus. Could kill him.","Well, that certainly would be a concern. Fifty bucks? Don't look away, the space monkeys will be all over you.",24,20
You wanna bet on the Patient's health?,"You think that's bad luck? Do you think that God will smite him because of our insensitivity? Well, if God does, you make a quick fifty. Go check his white blood count. If he's fighting off a virus like you think it'll be way up.",7,45
What if you don't find one? I can't stay here forEver.,The Patient could have died.,11,5
The one with the pulled muscle.,"Well, those symptoms are consistent with a dozen other conditions. I, you know, I, I'm entitled to a consult!",6,19
You are not getting out of clinic duty.,"Oh, come on. You've got a hundred other idiot doctors in this building who go warm and fuzzy Every time they pull a toy car out of a nose, you don't need me here.",8,34
"No, I don't, but working with people actually makes you a better doctor.",When did I sign up for that course?,13,8
When did I give you the impression that I care?,"Working in this clinic obviously instills a deep sense of compassion. I've got your home number, right? In case anything comes up at 3 o'clock in the morning.",10,28
"Do you have a thing for her? The only people who can get to you ""","No! There is not a thin line between love and hate. There is, in fact, a Great Wall of Parkna with armed sentries posted Every 20 feet between love and hate. 36 Vicodin.",16,33
"Yeah. You will lie, cheat and steal to get what you want, but you're incapable of kissing a little ass?","Well, we all have our limitations.",20,6
"House! Wrong bottle. Do me a favor. Take one of these, wait five minutes for it to kick in, and find Cuddy, and kiss her ass.","What was the kid's first symptom? You did the history; of his 800 symptoms, which one hit him first?",26,19
"Gout? Uric acid crystals in the joints? The symptoms are pain, swelling, redness, stiffness! not one of which do I see on that board.","Because he doesn't have gout. Every day, cells die. We survive because the remaining cells divide and replace the losses. The colParkcine, a gout medicine, blocks mitosis and stops cell division, which will result in abdominal pain, rash, nausea, fEver, kidney failure, low blood pressure, and will also mess with the bone marrow.",24,53
But he doesn't have gout. Why would he have gout medication?,"Because you guys were right. He didn't have two conditions at the exact same time. First, he got a cough. Now, because he's an idiot, he went to a doctor. In order to feel justified charging 200, the doctor felt he should actually do something. Oops. He wrote a prescription. 7000 people die each year from pharmacy screw-ups. Not nearly as Many as die from doctor screw-ups, but still, not something they use in their promotional material. The pharmacist gave him gout medicine instead of cough medicine. And the only thing it wouldn't do: it would do absolutely nothing to reliEve his cough. Occam's Razor. The simplest explanation is almost always somebody screwed up.",11,114
"But once he checked into this hospital he was completely in our control. Our food, our pills, our Everything. So Even if you're right, no gout medication. He'd either continue to deteriorate or he would have gotten better. But he got better, and then he got worse. It doesn't fit. It doesn't make sense.","Okay. Two people screwed up. Not as simple as one, but!",54,11
You're the one he hasn't met. How can you treat someone without meeting them?,"It's easy if you don't give a crap about them. That's a good thing. If emotions made you act rationally, then they wouldn't be called emotions, would they? That's why we have this nice division of labor: you hold his hand, I get him better. If I start tucking him in at night, well, that's not fair to you guys, and if you start prescribing medicine, that's not fair to me. So what I want to know is: who stepped on my side of the med? Who cared enough to get stupid enough to give him his cough medicine?",14,99
"When we checked in Dr. Foreman said ""","Tuesday, he's getting better. Wednesday, he's getting sick again. Somebody gave him his cough medicine Wednesday. Come on, nobody's gonna be mad. I just want to know who tried to kill the kid.",8,33
"Sorry! He was coughing, and I just wanted to help him """,I wish you would dare. Where are the pills?,12,9
It was just cough medicine!,"No, it wasn't. Where's the bottle?",5,6
"Hey, I'm just a pharmacist, but I know what cough medicine looks like, Doctor.",It was so perfect. It was beautiful.,14,7
Beauty often seduces us on the road to truth.,And triteness kicks us in the nads.,9,7
"That you were wrong? I try to work through the pain """,I was not wrong. Everything I said was true. It fit. It was elegant.,12,14
Unless you've got something better.,"Well, we foolishly ruled out lymphoma because his CT scan showed no adenophathy, CBC showed a normal diffen smear, bone marrow showed no """,5,24
Screw the tests. Do an exploratory laparotomy and find out what's in there.,"He has no blood pressure, no immune system and no kidneys. Surgery will kill him.",13,15
"Yeah, you're right. Let's stick with the wrong pill theory.",I'll schedule him for surgery.,10,5
Brandon's not ready for surgery.,"Okay, well, let's leave it a couple of weeks. He should be feeling better by then. Oh wait, which way does time go?",5,23
He crashed during prep. He's also experiencing pain in his fingers. I think some bug may have gotten in the clean room. I think we should double his dosage of GCSF to temporarily boost his blood cell count.,Pain in his fingers! right.,38,5
"Dr. House, this is a clean room.","Yeah, I read the sign. But cells of different organs reproduce at different rates. So, a new kidney Every three years, a new stomach lining Every week!. This is why colParkcine poisoning causes all of these symptoms but not all at once.",7,42
